image_path,class_name_label,gender_label
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C266/C266_S1_I1.jpg,C266,Female
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C43/C43_S1_I10.jpg,C43,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C520/C520_S2_I1.jpg,C520,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C43/C43_S1_I5.jpg,C43,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C186/C186_S2_I14.jpg,C186,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C402/C402_S1_I3.jpg,C402,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C516/C516_S1_I8.jpg,C516,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C416/C416_S1_I4.jpg,C416,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C98/C98_S1_I2.jpg,C98,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C124/C124_S1_I7.jpg,C124,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C312/C312_S1_I5.jpg,C312,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C449/C449_S2_I8.jpg,C449,Female
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C98/C98_S1_I8.jpg,C98,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C320/C320_S1_I8.jpg,C320,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C105/C105_S2_I11.jpg,C105,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C274/C274_S1_I6.jpg,C274,Female
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C183/C183_S2_I4.jpg,C183,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C161/C161_S1_I14.jpg,C161,Female
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C351/C351_S1_I15.jpg,C351,Female
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C355/C355_S2_I10.jpg,C355,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C77/C77_S1_I2.jpg,C77,Male
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C307/C307_S2_I15.jpg,C307,Female
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C235/C235_S2_I9.jpg,C235,Female
/home/n-lab/Documents/Periocular_project/Datasets/UBIris_v2/Class_Folders_No_Attributes/C299/C299_S1_I9.jpg,C299,Male
